ZIP,STATE,TOTAL_DEPOSITS,BRANCH_COUNT,ZIP_COUNT,LAT,LON,AVG_DEPOSIT_PER_BRANCH,NORM_DEPOSIT_BASE,NORM_BRANCH_DENSITY,OPPORTUNITY_SCORE,CAPTURE_PCT,EXPECTED_CAPTURE_USD
10017,NY,744591256000,20,1,40.752635481056984,-73.97601430182037,37229562800.0,739.0340698977749,4.86489413548492,441.4744842844709,0.1,74459125600.0
57108,SD,531388675000,31,1,43.4934009935297,-96.74503911076597,17141570161.290323,527.4227061066051,7.540585910001625,313.43738929996243,0.1,53138867500.0
84111,UT,485479315000,22,1,40.76460817670543,-111.88681490958433,22067241590.909092,481.855986253529,5.351383549033411,286.973038332504,0.1,48547931500.0
28202,NC,397796853000,10,1,35.22389043161951,-80.84398215445802,39779685300.0,394.8279339787424,2.43244706774246,235.92378156014843,0.1,39779685300.0
57105,SD,344742581000,6,1,43.521224890612636,-96.74064478219515,57457096833.333336,342.1696274976043,1.4594682406454758,204.7179892023044,0.1,34474258100.0
84070,UT,327350994000,12,1,40.56793374620326,-111.89229800021575,27279249500.0,324.90784095496025,2.9189364812909515,193.77712998045976,0.1,32735099400.0
19801,DE,326004592000,16,1,39.745315343829986,-75.55032819849261,20375287000.0,323.57148769837767,3.8919153083879356,192.5861264956714,0.1,32600459200.0
76262,TX,241408359000,11,1,33.00221776683411,-97.21590045415269,21946214454.545456,239.60663064664453,2.6756917745167055,142.69370167818005,0.1,24140835900.0
10007,NY,230785413000,10,1,40.71343938632591,-74.0100001947761,23078541300.0,229.0629679949248,2.43244706774246,136.4648019698579,0.1,23078541300.0
10282,NY,226112000000,1,1,40.7142562748465,-74.0142375668577,226112000000.0,224.42443456887128,0.24324470677424598,134.55736285861306,0.1,22611200000.0
10577,NY,212449000000,1,1,41.0166893391948,-73.7096112937246,212449000000.0,210.8634070713723,0.24324470677424598,126.42074636011368,0.1,21244900000.0
02114,MA,208846743000,6,1,42.36278801262933,-71.0639439207835,34807790500.0,207.28803517427372,1.4594682406454758,123.78903380830603,0.1,20884674300.0
94104,CA,211103304000,20,1,37.79249656939015,-122.4019466022476,10555165200.0,209.5277545456258,4.86489413548492,123.77069507318151,0.1,21110330400.0
77002,TX,151596964000,11,1,29.75709663438727,-95.36746563512844,13781542181.818182,150.46553446105264,2.6756917745167055,89.20904396682491,0.1,15159696400.0
60603,IL,146350309000,12,1,41.88080046697119,-87.63029180824422,12195859083.333334,145.25803737220755,2.9189364812909515,85.98724783080816,0.1,14635030900.0
45202,OH,136298577000,13,1,39.10280415375061,-84.51090280753925,10484505923.076923,135.28132551906472,3.1621811880651975,79.90392283621274,0.1,13629857700.0
10001,NY,127160315000,28,1,40.74935308660256,-73.9916190728934,4541439821.428572,126.21126606935749,6.810851789678887,73.00241892574294,0.1,12716031500.0
75202,TX,115457229000,3,1,32.7847649961639,-96.80376432687221,38485743000.0,114.59552493991335,0.7297341203227379,68.46542131581892,0.1,11545722900.0
84020,UT,113540235000,16,1,40.52458655944773,-111.88468500608006,7096264687.5,112.69283824251596,3.8919153083879356,66.0589368221544,0.1,11354023500.0
10036,NY,107769037000,22,1,40.75661697690951,-73.98426623662061,4898592590.909091,106.96471303051925,5.351383549033411,62.038274398698185,0.1,10776903700.0
60606,IL,96047221000,14,1,41.88126378399518,-87.63693886015191,6860515785.714286,95.33038169065074,3.4054258948394436,55.83605865645467,0.1,9604722100.0
19808,DE,96250176000,20,1,39.734580420892904,-75.65510796967126,4812508800.0,95.53182195528917,4.86489413548492,55.37313551897954,0.1,9625017600.0
78288,TX,92765000000,1,1,29.54185693824,-98.575061994233,92765000000.0,92.07265723526989,0.24324470677424598,55.146296458452234,0.1,9276500000.0
19950,DE,90994192000,1,1,38.805634979534,-75.584477994398,90994192000.0,90.31506549254931,0.24324470677424598,54.091741412819886,0.1,9099419200.0
10022,NY,93611488000,47,1,40.75950020134868,-73.97098545995287,1991733787.2340426,92.91282755249911,11.432501218389561,51.17469604414364,0.1,9361148800.0
55402,MN,86718788000,19,1,44.9762470089609,-93.27125572227524,4564146736.842105,86.07157056413556,4.621649428710674,49.79428256699706,0.1,8671878800.0
15222,PA,84954827000,20,1,40.4433193055183,-79.99806522671045,4247741350.0,84.32077471948097,4.86489413548492,48.64650717749461,0.1,8495482700.0
22102,VA,74534452000,11,1,38.92287436813249,-77.22603413059029,6775859272.727273,73.97817119834718,2.6756917745167055,43.31662600920163,0.1,7453445200.0
02110,MA,65298834000,13,1,42.35500613910275,-71.05637940663179,5022987230.769231,64.81148235589703,3.1621811880651975,37.622016938312136,0.1,6529883400.0
44114,OH,64169963000,9,1,41.502401442966665,-81.68742278669383,7129995888.888889,63.69103657736162,2.189202360968214,37.338941002029685,0.1,6416996300.0
43215,OH,63623558000,15,1,39.96414221635279,-83.00068145198783,4241570533.3333335,63.148709619170084,3.6486706016136896,36.42975753085657,0.1,6362355800.0
32225,FL,59278572000,11,1,30.32868536543167,-81.52480072158868,5388961090.909091,58.83615200940297,2.6756917745167055,34.2314144958351,0.1,5927857200.0
75201,TX,61580104000,26,1,32.80087071307196,-96.80235216372543,2368465538.4615383,61.12050674396887,6.324362376130395,34.142559095929165,0.1,6158010400.0
90071,CA,55825567000,17,1,34.05181702721653,-118.25405208637305,3283856882.352941,55.408918184181466,4.135160015162182,31.591286904444004,0.1,5582556700.0
27609,NC,55191037000,21,1,35.84246267219641,-78.63173229172645,2628144619.047619,54.779123938555465,5.108138842259165,30.82421882622961,0.1,5519103700.0
55101,MN,48629634000,4,1,44.94749799019075,-93.09356399024543,12157408500.0,48.26669134650597,0.9729788270969839,28.57082327706479,0.1,4862963400.0
48226,MI,47245082000,7,1,42.332239837905284,-83.04793145140945,6749297428.571428,46.89247281882412,1.7027129474197218,27.454398512326584,0.1,4724508200.0
02109,MA,46588628000,9,1,42.35812184045004,-71.05608775795258,5176514222.222222,46.24091820088931,2.189202360968214,26.868869976146303,0.1,4658862800.0
10019,NY,48261209000,23,1,40.76379776792191,-73.98149120906814,2098313434.7826087,47.90101605149272,5.594628255807657,26.50275832857257,0.1,4826120900.0
33131,FL,49126013000,38,1,25.766601358587025,-80.19036436092054,1292789815.7894738,48.75936566899598,9.243298857421347,25.55829985842905,0.1,4912601300.0
00918,PR,41971141000,9,1,18.42124433081921,-66.06177374235273,4663460111.111111,41.657893376447824,2.189202360968214,24.11905508148141,0.1,4197114100.0
84121,UT,41580867000,12,1,40.63126741776214,-111.82957093222025,3465072250.0,41.270532149370396,2.9189364812909515,23.594744697105856,0.1,4158086700.0
95054,CA,38852094000,3,1,37.386393671508635,-121.965695313219,12950698000.0,38.56212508741967,0.7297341203227379,22.84538140432271,0.1,3885209400.0
95814,CA,40173315000,12,1,38.57903624469368,-121.49934604600958,3347776250.0,39.873485280003514,2.9189364812909515,22.756516575485726,0.1,4017331500.0
